record_id,occurence_month,ncic,total_number_of_victims,total_number_of_individual_victims,suspects_race_as_a_group,total_number_of_suspects,most_serious_ucr,most_serious_ucr_type,most_serious_location,most_serious_bias,most_serious_bias_type,most_serious_victim_type,weapon_type,offensive_act,is_multiple_bias,total_number_of_individual_victims_adult,total_number_of_individual_victims_juvenile,total_number_of_suspects_adult,total_number_of_suspects_juvenile,suspects_ethnicity_as_a_group,data_loaded_at
CA00-0000015718,2/1/2004,3801,1,1,Black or African American,3,Simple Assault,Violent Crimes,School/college,Anti-Transgender,Gender Nonconforming,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000015720,2/1/2004,3801,1,1,Hispanic,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000015723,2/1/2004,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Specialty Store (TV/Fur/etc.),Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Business,,Daubing of swastika,,,,,,,11/15/2023 11:01
CA00-0000015724,2/1/2004,3801,1,1,Hispanic,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Unknown,,,,,,,11/15/2023 11:01
CA00-0000015793,3/1/2004,3801,1,1,White,1,Simple Assault,Violent Crimes,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000015794,3/1/2004,3801,1,1,Unknown,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000015795,3/1/2004,3801,1,1,Black or African American,1,Intimidation,Violent Crimes,Bar/Night Club,Anti-White,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000015796,3/1/2004,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Jewish,Religion,Business,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000015797,3/1/2004,3801,2,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Business,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000015798,3/1/2004,3801,2,2,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000015799,3/1/2004,3801,2,2,Unknown,0,Intimidation,Violent Crimes,Bar/Night Club,Anti-Gay (Male),Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,,11/15/2023 11:01
CA00-0000015800,3/1/2004,3801,2,2,Hispanic,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,,Damage to vehicle,,,,,,,11/15/2023 11:01
CA00-0000015850,2/1/2004,3801,1,1,Hispanic,1,Simple Assault,Violent Crimes,Other/Unknown,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000015880,3/1/2004,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016118,4/1/2004,3801,1,1,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016119,4/1/2004,3801,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Threatening letters/flyers/email,,,,,,,11/15/2023 11:01
CA00-0000016120,4/1/2004,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016121,4/1/2004,3801,3,3,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016122,4/1/2004,3801,1,1,White,3,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016123,4/1/2004,3801,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016124,4/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,,Damage to vehicle,,,,,,,11/15/2023 11:01
CA00-0000016125,4/1/2004,3801,1,1,Hispanic,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016126,3/1/2004,3801,1,1,Hispanic,1,Intimidation,Violent Crimes,Drug Store/Dr Office/Hospital,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Annoying telephone calls/fax,,,,,,,11/15/2023 11:01
CA00-0000016128,5/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016129,5/1/2004,3801,1,1,Asian/Pacific Islander,1,Simple Assault,Violent Crimes,Convenience Store,Anti-White,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016133,5/1/2004,3801,1,1,Unknown,1,Intimidation,Violent Crimes,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry,Person,,Threatening letters/flyers/email,,,,,,,11/15/2023 11:01
CA00-0000016135,5/1/2004,3801,2,2,Unknown,1,Intimidation,Violent Crimes,Church/Synagogue/Temple,Anti-Gay (Male),Sexual Orientation,Person,,Threatening letters/flyers/email,,,,,,,11/15/2023 11:01
CA00-0000016137,5/1/2004,3801,1,1,Group of Multiple Races,3,Burglary,Property Crimes,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016138,5/1/2004,3801,2,2,White,3,Aggravated Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016139,5/1/2004,3801,1,1,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016140,5/1/2004,3801,2,2,Hispanic,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016142,5/1/2004,3801,1,1,Black or African American,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016143,5/1/2004,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016144,5/1/2004,3801,2,2,White,1,Intimidation,Violent Crimes,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016145,5/1/2004,3801,1,1,Unknown,1,Intimidation,Violent Crimes,Bar/Night Club,Anti-Gay (Male),Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,,11/15/2023 11:01
CA00-0000016146,5/1/2004,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Vehicle,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016147,5/1/2004,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016149,6/1/2004,3801,4,4,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016150,6/1/2004,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016151,6/1/2004,3801,2,2,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016152,6/1/2004,3801,1,1,White,1,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Jewish,Religion,Person,,Threatening letters/flyers/email,,,,,,,11/15/2023 11:01
CA00-0000016153,6/1/2004,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016154,6/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Restaurant,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016155,6/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Gay (Male),Sexual Orientation,Person,,Daubing of swastika,,,,,,,11/15/2023 11:01
CA00-0000016156,6/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Restaurant,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016157,6/1/2004,3801,1,1,Unknown,0,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016158,7/1/2004,3801,1,1,Hispanic,3,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016159,7/1/2004,3801,1,1,Hispanic,1,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016160,7/1/2004,3801,1,1,Asian/Pacific Islander,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016161,7/1/2004,3801,1,1,White,3,Aggravated Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016162,7/1/2004,3801,1,1,Hispanic,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016163,7/1/2004,3801,1,1,White,1,Simple Assault,Violent Crimes,Department/Discount Store,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016164,7/1/2004,3801,3,3,Group of Multiple Races,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016165,7/1/2004,3801,1,1,Asian/Pacific Islander,3,Simple Assault,Violent Crimes,Field/Woods/Park,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016166,6/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,,Other,,,,,,,11/15/2023 11:01
CA00-0000016167,7/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016168,7/1/2004,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Field/Woods/Park,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016169,7/1/2004,3801,1,1,Unknown,0,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Rock throwing,,,,,,,11/15/2023 11:01
CA00-0000016172,7/1/2004,3801,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016173,8/1/2004,3801,1,1,Hispanic,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016174,7/1/2004,3801,10,10,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,,Daubing of swastika,,,,,,,11/15/2023 11:01
CA00-0000016176,8/1/2004,3801,2,2,White,1,Simple Assault,Violent Crimes,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016177,8/1/2004,3801,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Specialty Store (TV/Fur/etc.),Anti-Asian,Race/Ethnicity/Ancestry,Person,,Other,,,,,,,11/15/2023 11:01
CA00-0000016178,8/1/2004,3801,3,3,Hispanic,3,Simple Assault,Violent Crimes,Department/Discount Store,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016180,8/1/2004,3801,1,1,Hispanic,2,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016182,8/1/2004,3801,1,1,White,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016183,7/1/2004,3801,1,1,Unknown,0,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Lesbian,Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,,11/15/2023 11:01
CA00-0000016184,7/1/2004,3801,1,1,Asian/Pacific Islander,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016187,8/1/2004,3801,1,1,Hispanic,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016188,8/1/2004,3801,1,1,Group of Multiple Races,2,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Bisexual,Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,,11/15/2023 11:01
CA00-0000016189,8/1/2004,3801,1,1,Black or African American,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016190,8/1/2004,3801,1,1,Hispanic,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016191,8/1/2004,3801,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Other,,,,,,,11/15/2023 11:01
CA00-0000016192,9/1/2004,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-White,Race/Ethnicity/Ancestry,Government,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016193,9/1/2004,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Asian,Race/Ethnicity/Ancestry,Business,,Hanging in Effigy,,,,,,,11/15/2023 11:01
CA00-0000016194,9/1/2004,3801,1,1,Hispanic,1,Simple Assault,Violent Crimes,Specialty Store (TV/Fur/etc.),Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016195,9/1/2004,3801,1,1,Black or African American,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016196,9/1/2004,3801,1,1,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Lesbian,Sexual Orientation,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016197,10/1/2004,3801,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016198,10/1/2004,3801,1,1,Group of Multiple Races,2,Intimidation,Violent Crimes,Field/Woods/Park,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016199,10/1/2004,3801,1,1,Unknown,0,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016200,10/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Specialty Store (TV/Fur/etc.),Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016201,10/1/2004,3801,1,1,Hispanic,1,Intimidation,Violent Crimes,Hotel/Motel/etc.,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016202,10/1/2004,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016203,10/1/2004,3801,3,3,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,,Daubing of swastika,,,,,,,11/15/2023 11:01
CA00-0000016204,7/1/2004,3801,3,3,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016205,10/1/2004,3801,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016206,10/1/2004,3801,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016207,10/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016233,11/1/2004,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016234,11/1/2004,3801,1,1,Black or African American,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016235,11/1/2004,3801,1,1,Unknown,0,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Threatening letters/flyers/email,,,,,,,11/15/2023 11:01
CA00-0000016236,11/1/2004,3801,2,2,Hispanic,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016237,11/1/2004,3801,1,1,Unknown,1,Intimidation,Violent Crimes,School/college,Anti-Arab,Race/Ethnicity/Ancestry,Person,,Annoying telephone calls/fax,,,,,,,11/15/2023 11:01
CA00-0000016238,11/1/2004,3801,1,1,White,2,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016239,11/1/2004,3801,1,1,Black or African American,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016248,10/1/2004,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,,Daubing of swastika,,,,,,,11/15/2023 11:01
CA00-0000016251,10/1/2004,3801,2,2,Unknown,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016263,7/1/2004,3801,1,1,White,1,Intimidation,Violent Crimes,Hotel/Motel/etc.,Anti-Jewish,Religion,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016270,5/1/2004,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Catholic,Religion,Religious,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016299,7/1/2004,3801,1,1,Unknown,0,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Other,,,,,,,11/15/2023 11:01
CA00-0000016300,11/1/2004,3801,1,1,White,1,Simple Assault,Violent Crimes,Bar/Night Club,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016301,5/1/2004,3801,1,1,Unknown,0,Burglary,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016302,6/1/2004,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016303,8/1/2004,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016307,12/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016308,12/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000016309,12/1/2004,3801,1,1,Unknown,0,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Threatening letters/flyers/email,,,,,,,11/15/2023 11:01
CA00-0000016312,12/1/2004,3801,2,2,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Threatening letters/flyers/email,,,,,,,11/15/2023 11:01
CA00-0000016321,12/1/2004,3801,1,1,Group of Multiple Races,1,Aggravated Assault,Violent Crimes,Restaurant,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016323,12/1/2004,3801,1,1,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000016324,12/1/2004,3801,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Other,,,,,,,11/15/2023 11:01
CA00-0000016343,12/1/2004,3801,1,1,Asian/Pacific Islander,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Other,,,,,,,11/15/2023 11:01
CA00-0000016365,12/1/2004,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,,,,,,11/15/2023 11:01
